Comment,Description,Designator,Footprint,LibRef,Quantity,Manufacturer Part Number,Manufacturer
"2R","Resistor, 2R, 5%, 0.1W, 75V, 200PPM, 0603","R22, R27","0603","2/0603/0100W/75V","2","ERJ3GEYJ2R0V","PANASONIC"
"750K","Resistor, 750K, 1%, 0.063W, 50V, 100PPM, 0603","R25, R34","0603","750K/0603/0063W/50V","2","CRCW0603750KFKEA","VISHAY DRALORIC"
"470K","Resistor, 470K, 1%, 0.063W, 50V, 100PPM, 0603","R26","0603","470K/0603/0063W/50V","1","CRCW0603470KFKEA","VISHAY DRALORIC"
"470","Resistor, 470, 1%, 0.063W, 50V, 100PPM, 0603","R29","0603","470/0603/0063W/50V","1","CRCW0603470RFKEA","VISHAY DRALORIC"
"20K","Resistor, 20K, 1%, 0.063W, 50V, 100PPM, 0603","R30","0603","20K/0603/0063W/50V","1","CRCW060320K0FKEA","VISHAY DRALORIC"
"100R","Resistor, 100R, 1%, 0.063W, 50V, 200PPM, 0603","R31","0603","100/0603/0063W/50V","1","CRCW0603100RFKEA","VISHAY DRALORIC"
"130K","Resistor, 130K, 1%, 0.063W, 50V, 100PPM, 0603","R33","0603","130K/0603/0063W/50V","1","CRCW0603130KFKEA","VISHAY DRALORIC"
"200K","Resistor, 200K, 1%, 0.063W, 50V, 100PPM, 0603, Resistor, 200K, 1%, 0.1W, 75V, 100PPM, 0603","R37, R38, R40, R53","0603","200K/0603/0063W/50V, 200K/0603/0100W/75V","4","CRCW0603200KFKEA","VISHAY DRALORIC"
"0R","Resistor, 0R, 0.1%, 0.063W, 50V, 200PPM, 0603","R39, R41","0603","0/0603/0063W/50V","2","CRCW06030000Z0EA","VISHAY DRALORIC"
"12K","Resistor, 12K, 1%, 0.063W, 50V, 100PPM, 0603","R48","0603","12K/0603/0063W/50V","1","CRCW060312K0FKEA","VISHAY DRALORIC"
"418127270902","WS-DITV Small Compact THT Dip Switch, Raised Actuator, pitch 2.54mm, 2p","S1","418127270902","418127270902","1","418127270902","Wurth Elektronik"
"428527320916","WS-ROTV THT Rotary Switch with Arrow Type Actuator, 10x10mm, 16 positions","S2","42852732091x_16p","428527320916","1","428527320916","Wurth Elektronik"
"LTC6362","Precision, Low Power Rail-to-Rail Input/Output Differential Op Amp","U1_IHS, U1_ILS","MSOP8","LTC6362HMS8","2","LTC6362HMS8#PBF","Analog Devices Inc."
"CP2104-F03-GM","USB to UART converter","U2","QFN24","CP2104-F03-GM","1","CP2104-F03-GM","Silicon Labs"
"STM32G474","ARM MCU, STM32 Family STM32G4 Series Microcontrollers, ARM Cortex-M4F, 32bit, 170 MHz, 512 KB","U3","QFN48","STM32G474CEU6","1","STM32G474CEU6","STMicroelectronics"
"74LVC2G08","Dual 2-input AND gate","U4","TSSOP8","74LVC2G08","1","74LVC2G08DP,125","Nexperia"
"Si8273","4 Amp ISOdriver with High Transient (dV/dt) Immunity","U5","DFN-14","Si8273ABIM1","1","SI8273AB-IM1","Skyworks Solutions Inc."
"ISO1044","ISO1044 Isolated CAN FD Transceiver in Small Package","U6","SO-8","ISO1044","1","ISO1044BD","Texas Instruments"
"LM5165XDRCT","Buck Vreg 150mA 5Vout 5-65Vin","U7","PWSON10","LM5165X","1","LM5165XDRCT","Texas Instruments"
"LTC3639EMSE","High Efficiency, 150V 100mA Synchronous Step-Down Regulator","U8","MSE1612","LTC3639EMSE","1","LTC3639EMSE#PBF","Analog Devices Inc."
"LM5165YDRCT","Buck Vreg 150mA 3V3 out 5-65Vin","U9","PWSON10","LM5165Y","1","LM5165YDRCT","Texas Instruments"
"LP2985AIM5-3.3","LDO, 0.3VDO, 3.3V, 0.15A, 1%","U10","SOT-23-5","LP2985AIM5-3.3","1","LP2985AIM5-3.3/NOPB","TEXAS INSTRUMENTS"
"TPS7A2501","TPS7A25 300-mA,18-V, Ultra-LowIQ, Low-DropoutLinearVoltageRegulatorWith Power-Good","U11","WSON-6","TPS7A2501DRVT","1","TPS7A2501DRVT","Texas Instruments"
"16MHz","CRYSTAL, 16MHz,18PF CL, 3.2X2.5MM SMT","X1","7M","7M-16.000MAAJ-T","1","7M-16.000MAAJ-T","TXC"
